Rank,Name,Year,Rating,Number of viewers,Director
1,The Shawshank Redemption,1994,9.2,2720798,Frank Darabont
2,The Godfather,1972,9.2,1890749,Francis Ford Coppola
3,The Dark Knight,2008,9.0,2693621,Christopher Nolan
4,The Godfather Part II,1974,9.0,1290004,Francis Ford Coppola
5,12 Angry Men,1957,9.0,804270,Sidney Lumet
6,Schindler's List,1993,8.9,1374206,Steven Spielberg
7,The Lord of the Rings: The Return of the King,2003,8.9,1872083,Peter Jackson
8,Pulp Fiction,1994,8.8,2089643,Quentin Tarantino
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1901288,Peter Jackson
10,"The Good, the Bad and the Ugly",1966,8.8,771549,Sergio Leone
11,Forrest Gump,1994,8.8,2115481,Robert Zemeckis
12,Fight Club,1999,8.7,2164224,David Fincher
13,The Lord of the Rings: The Two Towers,2002,8.7,1690105,Peter Jackson
14,Inception,2010,8.7,2390506,Christopher Nolan
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1309954,Irvin Kershner
16,The Matrix,1999,8.7,1940661,Lana Wachowski
17,Goodfellas,1990,8.7,1180397,Martin Scorsese
18,One Flew Over the Cuckoo's Nest,1975,8.6,1020816,Milos Forman
19,Se7en,1995,8.6,1680622,David Fincher
20,Seven Samurai,1954,8.6,350424,Akira Kurosawa
21,It's a Wonderful Life,1946,8.6,468930,Frank Capra
22,The Silence of the Lambs,1991,8.6,1454675,Jonathan Demme
23,Saving Private Ryan,1998,8.6,1411909,Steven Spielberg
24,City of God,2002,8.6,765771,Fernando Meirelles
25,Interstellar,2014,8.6,1881661,Christopher Nolan
26,Life Is Beautiful,1997,8.6,705667,Roberto Benigni
27,The Green Mile,1999,8.6,1322625,Frank Darabont
28,Star Wars: Episode IV - A New Hope,1977,8.5,1382286,George Lucas
29,Terminator 2: Judgment Day,1991,8.5,1114296,James Cameron
30,Back to the Future,1985,8.5,1226005,Robert Zemeckis
31,Spirited Away,2001,8.5,779859,Hayao Miyazaki
32,The Pianist,2002,8.5,846963,Roman Polanski
